"","date","unemp","infgap","ppi","infexp","cpi","s_shock"
"16","1960-12-31",6.6,-0.812094301374311,0.315956029036846,1.48527085902229,0.673176557647981,1.38764797666546
"17","1961-03-31",6.9,-1.34556445295004,0.314960890289617,1.44615121750808,0.100586764558042,-2.19506466598709
"18","1961-06-30",6.9,-1.43217826713339,-1.58481922400235,1.43217826713339,0,-1.2924082325787
"19","1961-09-30",6.7,-0.731787754896551,0.63694482854797,1.19985948878569,0.468071733889142,0.584041055539686
"20","1961-12-31",6,-1.10448736413623,0.316957476127921,1.20450404191862,0.100016677782389,-0.884043540969692
"21","1962-03-31",5.6,-0.502204586004673,0.315956029036846,1.03394395787411,0.531739371869433,0.846956395209375
"22","1962-06-30",5.5,-0.813531111756882,-0.632913505164767,0.94602533451793,0.132494222761048,-0.74594125619587
"23","1962-09-30",5.6,-0.367935862285307,1.26184639592117,1.06066500554193,0.692729143256621,1.49905540607467
"24","1962-12-31",5.5,-1.2460300617875,-0.944888919793252,1.11445109543551,-0.131578966351986,-1.79414576991963
"25","1963-03-31",5.7,-0.826628088166759,-0.316957476127921,1.2536282442619,0.427000156095136,0.444176508233163
"26","1963-06-30",5.6,-0.93160701444257,0.316957476127921,1.25883243731686,0.327225422874289,0.0490581303386861
"27","1963-09-30",5.5,-0.920880342494845,0,1.27959587470987,0.358715532215026,0.178974126992948
"28","1963-12-31",5.5,-0.641209869290205,0,1.16069155700061,0.51948168771041,-0.422081387226925
"29","1964-03-31",5.4,-1.06833931500609,0,1.26245131384055,0.194111998834456,-0.467720970419094
"30","1964-06-30",5.2,-1.10618503856511,-0.316957476127921,1.33217383530889,0.225988796743781,-0.336355884324213
"31","1964-09-30",5.1,-1.10242516150739,0.632913505164767,1.3279044002163,0.225479238708903,0.901916954835613
"32","1964-12-31",5,-0.828344226211175,0,1.37382929450757,0.545485068296392,-0.287203369646782
"33","1965-03-31",4.7,-1.07167395483939,0.628932890756406,1.26348987042973,0.191815915590343,-0.461615952426619
"34","1965-06-30",4.6,-0.257199375934836,1.55524130074847,1.21079846485604,0.953599088921209,2.58928054346637
"35","1965-09-30",4.3,-1.33368823347936,0,1.36531878885934,0.0316305553799801,-1.094852773236
"36","1965-12-31",4,-0.7799309917223,1.22700925918142,1.50468601540693,0.724755023684631,0.467401664185552
"37","1966-03-31",3.8,-0.651593931048611,1.21213605323454,1.68236988565509,1.03077595460648,2.91281545181103
"38","1966-06-30",3.8,-1.45078711794312,0.300752106395485,2.07036778646831,0.619580668525188,-2.32653990510059
"39","1966-09-30",3.7,-1.05675712596098,0.896866998276069,2.19295850913817,1.13620138317718,0.978660069527848
"40","1966-12-31",3.8,-2.12241273682872,-0.896866998276069,2.64015410958955,0.517741372760838,-1.46366722915587
