"","date","spx","vix","spx_lag","vix_lag"
"1",1991-04-30,-0.0141157225403022,18.24,-0.0134829121007835,18.27
"2",1991-05-06,0.0190547556602256,17.92,-0.0141157225403022,18.24
"3",1991-05-13,-0.0132359892851515,17.66,0.0190547556602256,17.92
"4",1991-05-20,-0.00891573960717529,17.1,-0.0132359892851515,17.66
"5",1991-05-31,0.0391256478423159,15.93,-0.00891573960717529,17.1
"6",1991-06-03,0.00736510233615872,16.87,0.0391256478423159,15.93
"7",1991-06-10,-0.0266283574048896,17.47,0.00736510233615872,16.87
"8",1991-06-17,0.00756397754526539,15.5,-0.0266283574048896,17.47
"9",1991-06-24,-0.0119278053884384,18.28,0.00756397754526539,15.5
"10",1991-06-28,-0.00884206067665594,19.55,-0.0119278053884384,18.28
"11",1991-07-01,-0.00860042735042732,18.64,-0.00884206067665594,19.55
"12",1991-07-15,0.0245164071340049,17.78,-0.00860042735042732,18.64
"13",1991-07-22,0.0103344903755127,16.9,0.0245164071340049,17.78
"14",1991-07-29,-0.00853699799588759,15.67,0.0103344903755127,16.9
"15",1991-07-31,0.0151208883521907,15.18,-0.00853699799588759,15.67
"16",1991-08-05,0.00124130440404469,15.92,0.0151208883521907,15.18
"17",1991-08-12,-0.000154970684712152,15.26,0.00124130440404469,15.92
"18",1991-08-19,-0.00395236496086393,21.19,-0.000154970684712152,15.26
"19",1991-08-26,0.0222781264588414,14.81,-0.00395236496086393,21.19
"20",1991-08-30,0.00583504579242455,14.46,0.0222781264588414,14.81
"21",1991-09-09,-0.0185638257623528,17.73,0.00583504579242455,14.46
"22",1991-09-16,-0.0141862198350082,17.82,-0.0185638257623528,17.73
"23",1991-09-23,0.0112359550561798,16.38,-0.0141862198350082,17.82
"24",1991-09-30,-0.00513018819283306,15.85,0.0112359550561798,16.38
"25",1991-10-07,-0.0121530926900054,18.58,-0.00513018819283306,15.85
"26",1991-10-14,0.000603326163370221,16.71,-0.0121530926900054,18.58
"27",1991-10-21,0.0289421942587496,16.66,0.000603326163370221,16.71
"28",1991-10-28,-0.0211215572371272,15.45,0.0289421942587496,16.66
"29",1991-10-31,0.0228006246746486,15.48,-0.0211215572371272,15.45
"30",1991-11-04,-0.00424979641693801,16.35,0.0228006246746486,15.48
"31",1991-11-11,0.00411459531293912,14.89,-0.00424979641693801,16.35
"32",1991-11-18,-0.0261644184270806,18.28,0.00411459531293912,14.89
"33",1991-11-25,-0.0169358632585855,21.92,-0.0261644184270806,18.28
"34",1991-12-02,-0.00273834210666235,20.18,-0.0169358632585855,21.92
"35",1991-12-09,0.0106102210018393,19.74,-0.00273834210666235,20.18
"36",1991-12-16,0.0142182595162099,17.62,0.0106102210018393,19.74
"37",1991-12-23,0.00668435289221803,16.61,0.0142182595162099,17.62
"38",1991-12-31,0.0725746027645007,19.31,0.00668435289221803,16.61
"39",1992-01-14,-0.00192706075059024,17.01,0.0725746027645007,19.31
"40",1992-01-21,0.00487522324660916,17.92,-0.00192706075059024,17.01
"41",1992-01-28,-0.0033144394274186,17.67,0.00487522324660916,17.92
"42",1992-01-31,-0.00802448310761972,17.4,-0.0033144394274186,17.67
"43",1992-02-04,-0.00497995870278134,17.96,-0.00802448310761972,17.4
"44",1992-02-11,0.0101806640625,17.7,-0.00497995870278134,17.96
"45",1992-02-25,-0.00362520240713438,16.35,0.0101806640625,17.7
"46",1992-02-28,0.00385669585465842,16.68,-0.00362520240713438,16.35
"47",1992-03-03,-0.00340694920987783,17.26,0.00385669585465842,16.68
"48",1992-03-10,-0.017553642865802,18.68,-0.00340694920987783,17.26
"49",1992-03-17,0.00291207028454377,16.79,-0.017553642865802,18.68
"50",1992-03-24,0.00866163045350543,16.32,0.00291207028454377,16.79
"51",1992-03-31,-0.0168573589324487,16.18,0.00866163045350543,16.32
"52",1992-04-07,0.00642679900744403,18.81,-0.0168573589324487,16.18
"53",1992-04-14,0.00120811657092146,15.98,0.00642679900744403,18.81
"54",1992-04-28,0.00583628841607564,16.24,0.00120811657092146,15.98
"55",1992-04-30,0.00874035989717226,15.53,0.00583628841607564,16.24
"56",1992-05-05,0.0118683559050532,16.66,0.00874035989717226,15.53
"57",1992-05-12,0.00378978676452957,15.68,0.0118683559050532,16.66
"58",1992-05-19,-0.0135487108413582,13.57,0.00378978676452957,15.68
"59",1992-05-29,0.00949566396976897,13.86,-0.0135487108413582,13.57
"60",1992-06-02,0.00134376349762433,14.57,0.00949566396976897,13.86
"61",1992-06-09,-0.00934579439252348,15.97,0.00134376349762433,14.57
"62",1992-06-16,-0.00752298016448949,15.22,-0.00934579439252348,15.97
"63",1992-06-23,-0.0167930000731191,14.53,-0.00752298016448949,15.22
"64",1992-06-30,0.0137332672285573,13.35,-0.0167930000731191,14.53
"65",1992-07-14,0.014476451313151,13.5,0.0137332672285573,13.35
"66",1992-07-21,-0.00267560140770384,12.6,0.014476451313151,13.5
"67",1992-07-28,-0.00531722054380657,13.05,-0.00267560140770384,12.6
"68",1992-07-31,0.0300571012027699,13.17,-0.00531722054380657,13.05
"69",1992-08-04,0.00275995470843537,13.58,0.0300571012027699,13.17
"70",1992-08-11,-0.0132677785880637,15.09,0.00275995470843537,13.58
"71",1992-08-18,0.00307545595422587,13.84,-0.0132677785880637,15.09
"72",1992-08-25,-0.0237914151257308,15.62,0.00307545595422587,13.84
"73",1992-08-31,0.0100796143451902,13.58,-0.0237914151257308,15.62
"74",1992-09-01,-0.00202473063851338,13.4,0.0100796143451902,13.58
"75",1992-09-15,0.0270270270270272,13.63,-0.00202473063851338,13.4
